species,beak_type,plumage_color,eye_color,habitat,feeding_type,body_size,Unnamed: 7,рост,семейство,вид,тип_клюва,цвет_оперения,цвет_глаз,среда_обитания,размер_тела,скорость,длина_клюва
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,238.0,,,Врановые,,,Коричневый,Красный ,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,91.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,243.0,,,Врановые,,,Коричневый,Красный ,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,263.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,181.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,209.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,250.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,79.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,263.0,,,,,,,,,,,
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,266.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,212.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,195.0,,,,,,,,,,,
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,180.0,,,,,,,,,,,
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1265.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,166.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,627.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,93.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,236.0,,,Врановые,,,Коричневый,Красный ,,,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,606.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,621.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1201.0,,,,,,,,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,159.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,88.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,179.0,,,,,,,,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,200.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Белый лебедь,Плоский,Белый,Черный,Водоёмы,Травоядный,1316.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,93.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,693.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
Пестрый дятел,Долотообразный,Чёрно-белый,Красный,Леса,Насекомоядный,196.0,,,,,,,,,,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,245.0,,,Врановые,,,Коричневый,Красный ,,,,
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,170.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Черный дрозд,Короткий и крепкий,Чёрный,Коричневый,Леса,Всеядный,235.0,,,Врановые,,,Коричневый,Красный ,,,,
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,201.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Красный кардинал,Короткий и крепкий,Красный,Коричневый,Леса,Всеядный,216.0,,,Утиные,,,Коричневый,Желтый ,Скалы ,18.0,117.0,1.0
Синяя сойка,Крюкообразный,Синий,Серый,Леса,Всеядный,255.0,,,,,,,,,,,
Изумрудный колибри,Длинный и тонкий,Зеленый,Черный,Тропические леса,Нектароядный,97.0,,55.0,Ястребиные,Красный кардинал,Конусообразный,"Желтый, черный ",Черный ,Лес ,42.0,0.0,11.0
Снегирь,Короткий и крепкий,Красный,Черный,Леса,Травоядный,163.0,,,Ястребиные,,Конусообразный,Коричневый,Желтый ,Скалы ,105.0,,
Золотой фазан,Короткий и крепкий,Золотой,Желтый,Горные районы,Травоядный,625.0,,,Утиные,,,"Зеленый, серый ",Красный ,"Водоемы, болота ",78.0,35.0,22.0
